계약관서,계약명,계약방법,계약일자,계약금액,계약상대자
본청,군청사 사무실 등 사무집기 구매(회계과),수의1인견적,2023-01-06,16606000,중부사무용가구
본청,드림스타트 가족미션 챌린지 프로그램 진행에 따른 설명절 꾸러미(떡국) 구입(가족친화과),수의1인견적,2023-01-10,3933000,진천농협하나로마트
본청,군정홍보용 촬영 카메라 세트 구입(홍보미디어실),수의1인견적,2023-01-11,13750000,브로드코어
본청,2023년 설맞이 사회복지시설 위문 물품 구입 집행(주민복지과),수의1인견적,2023-01-11,8456500,진천축산업협동조합 벽암지점
본청,GPS 측량장비 구입(민원토지과),수의1인견적,2023-01-11,20000000,한양측량시스템
본청,진천·음성 광역폐기물 재활용선별시설 증설사업 물품(간판 등) 구입(식산업자원과),수의1인견적,2023-01-16,18372000,싸인아트
본청,「양화 풍수해생활권 종합정비사업」관급자재(혼합쇄석 및 잡석) 구입(이월확정),제한경쟁,2023-01-16,155008040,주식회사 보정골재
본청,2023년 주요업무계획 책자 제작(기획감사실),수의1인견적,2023-01-17,6370000,오투기획
본청,2023년 주요 진천군정 소책자 제작(기획감사실),수의1인견적,2023-01-17,5600000,오투기획
본청,진천·음성 광역폐기물 재활용선별시설 증설 장비(지게차) 구입(식산업자원과),수의1인견적,2023-01-19,49200000,삼성클라크지게차
본청,공통기반 재해복구 스토리지 디스크 구입(홍보미디어실),수의1인견적,2023-01-20,12640000,주식회사 에즈웰
본청,"스마트 그린도시, 포토존 LED조형물 제작 및 설치(환경에너지과)",수의1인견적,2023-01-25,7300000,주식회사 에스씨티엔에스
본청, 제설제(염화칼슘) 구입(건설교통과),수의1인견적,2023-01-25,33253000,알파환경식품
본청, 제설제(염화칼슘 및 소금) 구입(건설교통과),수의1인견적,2023-01-25,31660200,(주)지엔씨
본청,2023년 유해야생동물 피해방지단 운영에 따른 실탄 구입(환경에너지과),수의1인견적,2023-01-30,13805000,성동총포사
본청,제설제(친환경제설제) 구입(건설교통과),수의1인견적,2023-01-30,9360000,알에스(RS)유통
본청, 2023년 봄철 산불조심기간에 따른 산불조심 홍보물 구입(산림녹지과),수의1인견적,2023-01-30,4128000,우리에이엔씨
본청,행정전산실 무정전전원장치(UPS) 배터리 구입(홍보미디어실),수의1인견적,2023-01-31,9720000,영신엔지니어링
본청,통신실(6개소) 무정전전원공급장치(UPS) 배터리 교체(홍보미디어실),수의1인견적,2023-02-01,7040000,세방전기
본청,2023년 진천군 봄철산불조심기간 진화복 구입(산림녹지과),수의1인견적,2023-02-02,15200000,블루컴퍼니
본청,"제설제(소금,염화칼슘) 구입",수의2인이상견적,2023-02-03,45514950,(주)임팩트블랙홀
본청,전자 복사기 구입(지역개발과),수의1인견적,2023-02-07,2770000,희성정보통신
본청,2023년도 밤나무단지 수종갱신을 위한 묘목 구입(산림녹지과),수의1인견적,2023-02-09,11680000,진천군산림조합
본청,설계적산 프로그램(EST 최신판) 라이선스 키(KEY) 갱신 및 신규 추가 구입(홍보미디어실),수의1인견적,2023-02-14,13680000,(주)다산소프트
본청,2023년 유해야생동물 기피제 구입(환경에너지과),수의1인견적,2023-02-16,18476000,성해종합상사
본청,광혜원산업단지 외 2개소 수질TMS 시약 및 소모품 구입 집행,수의2인이상견적,2023-02-16,69828000,(주)네오이엔지
본청,2023년 산불무전 난청지역 해소를 위한 중계기지국(무선통신장비) 구입(산림녹지과),수의1인견적,2023-02-20,9204000,해성통신
본청,2023년 대형폐기물 신고필증 스티커 제작(식산업자원과),수의1인견적,2023-02-20,14155000,싸인아트
본청,VMS 교통정보제공시스템 제어기 교체,수의1인견적,2023-02-21,4800000,(주)동감
본청,2023년 가로수 관리를 위한 예초기 구입(산림녹지과),수의1인견적,2023-02-24,2640000,대명통상
본청,진천·음성 광역폐기물 침출수처리시설 지게차 구조변경 물품(로테이팅포크) 구입(식산업자원과),수의1인견적,2023-03-02,6200000,현대중공업 지게차 충북지점
본청,전자물품관리시스템 관리를 위한 장비 구입(리더기)(회계과),수의1인견적,2023-03-06,5140000,주식회사 케이아이티씨엔씨
본청,케이푸드밸리산업단지 공공폐수처리시설 증설공사 관급자재 구입(송풍기)(환경에너지과),수의1인견적,2023-03-07,34000000,(주)터보맥스
본청,전자적 십지지문 등록스캐너(민원토지과),수의1인견적,2023-03-07,3400000,희성정보통신
본청,구대장 한글전산화 프로그램 구입(민원토지과),수의1인견적,2023-03-07,10000000,(주)알찬정보시스템
본청,2023년 산불진화용 개인장비 구입(산림녹지과),수의1인견적,2023-03-08,14332000,산하그린
본청,2023년 산림병해충 방제를 위한 약제 구입(산림녹지과),수의1인견적,2023-03-08,17430000,우리농약사
본청,2023년 야생조류 기피제 구입(환경에너지과),수의1인견적,2023-03-09,3100000,성해종합상사
본청,"새올행정 틈새업무시스템 추가 개발(안전보건관리, 복지관회의실예약)(홍보미디어실)",수의1인견적,2023-03-09,14700000,주식회사 에즈웰
본청, 드림스타트 가족미션 챌린지 프로그램 진행에 따른 도서,수의1인견적,2023-03-09,3510000,진천서점
본청,2023년 이월 송림근린공원 콘테이너 구입(산림녹지과),수의1인견적,2023-03-10,3000000,진천스틸하우스
본청,케이푸드밸리산단 공공폐수처리시설 증설공사 관급자재 구입(유량조정조 펌프)(환경에너지과),수의1인견적,2023-03-10,12000000,(주)오비스
본청,케이푸드밸리산업단지 공공폐수처리시설 2단계 증설사업 관급자재(공법사기자재)(환경에너지과),수의1인견적,2023-03-10,462732090,환경시설관리주식회사
본청,가족친화과(여성회관) 전자복사기(가족친화과),수의1인견적,2023-03-10,2850000,희성정보통신
본청,"케이푸드밸리산단 공공폐수처리시설 관급자재 구입(반송슬러지, 처리수 펌프)(환경에너지과)",수의1인견적,2023-03-13,22300000,한국펌프공업협동조합
본청,모바일 신분증 진위확인 단말기 구입(민원토지과),수의1인견적,2023-03-13,7600000,희성정보통신
본청,2023년 시내버스 승강장 안전패널 설치 (대중교통활용 안전문화 홍보 사업)(안전총괄과),수의1인견적,2023-03-14,11600000,아주C&D
본청,팩스용 암호장비(홍보미디어실),수의1인견적,2023-03-14,5200000,주식회사 대영에스텍
본청,[충북혁신도시 복합혁신센터 건립사업(전기공사)]관급자재(무대장치) 구입,제한경쟁,2023-03-14,89760780,메가이엔씨
본청,2023년 진천군 기업체 안내책자 제작(경제과),수의1인견적,2023-03-15,5000000,미도인쇄사
본청,「진천·음성 광역폐기물 매립시설 7단 제방설치공사」관급자재(벤토파우더)(식산업자원과),수의1인견적,2023-03-15,18480000,주식회사 골든포우
본청,음식문화 수준향상을 위한 남은 음식 포장용 종이가방 제작(식산업자원과),수의1인견적,2023-03-16,5075000,(주)진천가이드
본청,2023년 제78회 식목일 내나무갖기 캠페인 나무 구입,수의1인견적,2023-03-16,5520000,좋은날 농원
본청,「진천·음성 광역폐기물 매립시설 7단 제방설치공사」 관급자재(벤토나이트매트)(식산업자원과),수의1인견적,2023-03-16,36732000,주식회사 골든포우
본청, 노후 구내정보통신(LAN) 장비 교체에 따른 부가 자재(홍보미디어실),수의1인견적,2023-03-21,39664000,주식회사 와이에스기업
본청,2023년 상반기 기업체안내판 정비사업(경제과),수의1인견적,2023-03-21,9222000,아주C&D
본청,"2023년도 꽃길 조성을 위한 봄 꽃묘(가우라,팬지)(산림녹지과)",수의1인견적,2023-03-21,6240000,좋은날농원
본청,케이푸드밸리 공공폐수처리시설 증설공사 관급자재 구입(탈수기)(환경에너지과),수의1인견적,2023-03-22,29700000,(주)에이알케이
본청,"2023년도 꽃길 조성을 위한 봄 꽃묘(비올라,팬지)(산림녹지과)",수의1인견적,2023-03-22,5760000,하나로화원
본청,『초평호 제2하늘다리 건설사업』 관급자재(데크시스템) 조달 구입(문화관광과),수의1인견적,2023-03-22,1503228800,수풍산업 주식회사
본청,CCTV 통합관제센터 출입통제시스템 납품(설치),수의1인견적,2023-03-22,3050000,(주)서건
본청,초평호 제2하늘다리 건설사업 관급자재(출렁다리 제작 및 설치)(2차분)(문화관광과),수의1인견적,2023-03-24,2324369920,주식회사 케이블브릿지
본청,2023년도 꽃길 및 치유의숲 입구등 장미 식재를 위한 꽃묘(산림녹지과),수의1인견적,2023-03-27,4060000,꽃마당농장
본청,일반업무용 전산재료 및 부품구입(홍보미디어실),수의1인견적,2023-03-27,9912000,희성정보통신
본청,진천군 지역자율방재단 피복 구입,수의1인견적,2023-03-28,4300000,아주C&D
본청,종박물관 문화상품(문화관광과),수의1인견적,2023-04-03,12548000,성종사
본청,2023년 그린시티 숲 조성사업(수목보호판),수의1인견적,2023-04-03,1980000, 나무도리
본청,「진천·음성 광역폐기물 매립시설 7단 제방설치공사」관급자재(지오셀 외 2종)(식산업자원과),수의1인견적,2023-04-04,125808000,주식회사지오콘
본청,지방세·세외수입 무인수납기(세정과),수의2인이상견적,2023-04-05,62900000,(주)새올정보기술
